"storage_key","title","artist","letras_url","youtube","method","status"
"song_a_batucada_dos_nossos_tantãs","A batucada dos nossos tantãs","Exaltasamba","","","","not-found-on-artist-page"
"song_a_chuva_cai","A chuva cai","Beth Carvalho","https://www.letras.mus.br/beth-carvalho/851288/","","","no-youtube-id"
"song_a_cigana_leu_o_meu_destino_(o_amanhã)","A cigana leu o meu destino (o amanhã)","Simone","https://www.letras.mus.br/simone/342274/","","","not-found-on-artist-page"
"song_acreditar_eu_não","Acreditar eu não","Dona Ivone Lara","https://www.letras.mus.br/dona-ivone-lara/169360/","","","not-found-on-artist-page"
"song_ai_tem_std","Ai tem std","","","","","no-artist"
"song_amor_agora_não","Amor agora não","Fundo de Quintal","https://www.letras.mus.br/fundo-de-quintal/137535/","","","no-youtube-id"
"song_aquarela_brasileira","Aquarela brasileira","Silas de Oliveira","https://www.letras.mus.br/silas-de-oliveira/762910/","","","no-youtube-id"
"song_ardido_peito_(pressentimento)","Ardido peito (pressentimento)","Elton Medeiros / Hermínio Bello de Carvalho","https://www.letras.mus.br/silas-de-oliveira/762910/","","","not-found-on-artist-page"
"song_arerê","Arerê","Beth Carvalho","https://www.letras.mus.br/beth-carvalho/175036/","","","not-found-on-artist-page"
"song_camarão_que_dorme_a_onda_leva","Camarão que dorme a onda leva","Zeca Pagodinho / Beth Carvalho","https://www.letras.mus.br/beth-carvalho/175036/","","","not-found-on-artist-page"
"song_canta_canta_minha_gente","Canta canta minha gente","Martinho da Vila","https://www.letras.mus.br/martinho-da-vila/287326/","https://www.youtube.com/watch?v=FxQB1FYLu5k","direct","found"
"song_carnavália","Carnavália","Tribalistas","https://www.letras.mus.br/tribalistas/64153/","https://www.youtube.com/watch?v=Dx5Lm13eLm8","direct","found"
"song_casa_de_samba_(no_meu_canto)","Casa de Bamba","Martinho da Villa","https://www.letras.mus.br/tribalistas/64153/","https://www.youtube.com/watch?v=Dx5Lm13eLm8","direct","found"
"song_chega_de_saudade","Chega de saudade","João Gilberto","https://www.letras.mus.br/joao-gilberto/689351/","https://www.youtube.com/watch?v=QTTnL5EllD8","direct","found"
"song_conselho","Conselho","Almir Guineto","https://www.letras.mus.br/almir-guineto/44053/","https://www.youtube.com/watch?v=CTIvQ4KGtKM","direct","found"
"song_deixa_a_vida_me_levar","Deixa a vida me levar","Zeca Pagodinho","https://www.letras.mus.br/zeca-pagodinho/49398/","https://www.youtube.com/watch?v=oTREAvZbmME","artist-index","found"
"song_deixe_me_ir_preciso_andar","Deixe me ir preciso andar","Agepê","https://www.letras.mus.br/agepe/vira-a-moeda/","","","not-found-on-artist-page"
"song_descobri_que_te_amo_demais","Descobri que te amo demais","Zeca Pagodinho","https://www.letras.mus.br/zeca-pagodinho/1754007/","","","not-found-on-artist-page"
"song_destino","Destino","","","","","no-artist"
"song_do_fundo_do_nosso_quintal","Do fundo do nosso quintal","Jorge Aragão","https://www.letras.mus.br/jorge-aragao/46620/","","","no-youtube-id"
"song_do_jeito_que_a_vida_quer","Do jeito que a vida quer","Beth Carvalho","https://www.letras.mus.br/beth-carvalho/423887/","","","not-found-on-artist-page"
"song_doce_refúgio","Doce refúgio","Fundo de Quintal","https://www.letras.mus.br/fundo-de-quintal/811659/","https://www.youtube.com/watch?v=IZSVMni4xOo","direct","found"
"song_dura_missão","Dura missão","Almir Guineto","https://www.letras.mus.br/almir-guineto/423848/","","","no-youtube-id"
"song_é_pois_é","É pois é","Beth Carvalho / Almir Guineto","https://www.letras.mus.br/almir-guineto/423849/","","","no-youtube-id"
"song_é_preciso_muito_amor","É preciso muito amor","Zeca Pagodinho","https://www.letras.mus.br/zeca-pagodinho/1458555/","","","no-youtube-id"
"song_enredo_do_meu_samba","Enredo do meu samba","","","","","no-artist"
"song_espelho","Espelho","João Nogueira","https://www.letras.mus.br/joao-nogueira/97617/","https://www.youtube.com/watch?v=BEVX5Aum85A","artist-index","found"
"song_eu_sou_o_samba","Eu sou o samba","Zé Keti","https://www.letras.mus.br/ze-keti/687252/","","","not-found-on-artist-page"
"song_ex_amor","Ex amor","Martinho da Vila","https://www.letras.mus.br/martinho-da-vila/127067/","","","no-youtube-id"
"song_falsa_consideração","Falsa consideração","Jorge Aragão","https://www.letras.mus.br/jorge-aragao/82860/","https://www.youtube.com/watch?v=aC1QBmYVMCc","direct","found"
"song_feitiço_da_vila","Feitiço da vila","Noel Rosa","https://www.letras.mus.br/jorge-aragao/82860/","https://www.youtube.com/watch?v=aC1QBmYVMCc","direct","found"
"song_filho_de_jorge","Filho de jorge","Juninho Thybau","https://www.letras.mus.br/juninho-thybau/nao-brinca-com-filho-de-jorge/","","","not-found-on-artist-page"
"song_fogo_de_saudade","Fogo de saudade","Fundo de Quintal","https://www.letras.mus.br/fundo-de-quintal/139784/","","","no-youtube-id"
"song_folhas_secas","Folhas secas","Nelson Cavaquinho","https://www.letras.mus.br/nelson-cavaquinho/47646/","https://www.youtube.com/watch?v=oSf5GVv7lvQ","direct","found"
"song_foram_me_chamar","Foram me chamar","Dona Ivone Lara","https://www.letras.mus.br/dona-ivone-lara/447769/","","","not-found-on-artist-page"
"song_inigualável_paixão","Inigualável paixão","Reinaldo","https://www.letras.mus.br/reinaldo/48362/","","","no-youtube-id"
"song_juízo_final","Juízo final","Nelson Cavaquinho","https://www.letras.mus.br/nelson-cavaquinho/juizo-final/","","","no-youtube-id"
"song_lendas_da_mata","Lendas da mata","João Martins","https://www.letras.mus.br/joao-martins/1552060/","","","no-youtube-id"
"song_mais_que_nada","Mais que nada","Sergio Mendes / Jorge Ben Jor","https://www.letras.mus.br/joao-martins/1552060/","","","not-found-on-artist-page"
"song_malandro","Malandro","Jorge Aragão","https://www.letras.mus.br/jorge-aragao/46629/","https://www.youtube.com/watch?v=PLjXaoceEY8","artist-index","found"
"song_maneiras","Maneiras","Zeca Pagodinho","https://www.letras.mus.br/zeca-pagodinho/49300/","https://www.youtube.com/watch?v=hHutLqLE0iU","direct","found"
"song_mel_na_boca","Mel na boca","Almir Guineto","https://www.letras.mus.br/almir-guineto/44059/","","","no-youtube-id"
"song_menina_mulher_da_pele_preta","Menina mulher da pele preta","Moraes Moreira","https://www.letras.mus.br/moraes-moreira/47523/","","","not-found-on-artist-page"
"song_meu_samba","Meu samba","Beth Carvalho","https://www.letras.mus.br/beth-carvalho/1127275/","","","not-found-on-artist-page"
"song_mordomia","Mordomia","Almir Guineto","https://www.letras.mus.br/almir-guineto/423852/","","","no-youtube-id"
"song_mulheres","Mulheres","Jorge Aragão","https://www.letras.mus.br/jorge-aragao/rio-antigo/","","","not-found-on-artist-page"
"song_não_deixe_o_samba_morrer","Não deixe o samba morrer","Alcione","https://www.letras.mus.br/alcione/charlie-brown-nao-deixe-o-samba-morrer-tudo-esta-no-seu-lugar-meu-nome-e-pandeiro-assobiar-ou-chupar-cana-pedra-que-nao-cria-limo-retalhos-d/","https://www.youtube.com/watch?v=sy-DPcwWRXM","direct","found"
"song_não_me_diga_adeus","Não me diga adeus","Alcione","https://www.letras.mus.br/alcione/835938/","","","no-youtube-id"
"song_não_posso_esquecer_o_seu_olhar","Não posso esquecer o seu olhar","","","","","no-artist"
"song_não_posso_ficar_nem_mais_um_minuto_(trem_das_onze)","Não posso ficar nem mais um minuto (trem das onze)","Adoniran Barbosa","https://www.letras.mus.br/adoniran-barbosa/922755/","","","not-found-on-artist-page"
"song_ô_avió_raió","Ô avió raió","Folclore / Domínio Público","https://www.letras.mus.br/adoniran-barbosa/922755/","","","not-found-on-artist-page"
"song_o_bêbado_e_o_equilibrista","O bêbado e o equilibrista","Elis Regina / João Bosco","https://www.letras.mus.br/adoniran-barbosa/922755/","","","not-found-on-artist-page"
"song_o_morro_não_tem_vez","O morro não tem vez","Tom Jobim / Vinícius de Moraes","https://www.letras.mus.br/adoniran-barbosa/922755/","","","not-found-on-artist-page"
"song_o_mundo_é_um_moinho","O mundo é um moinho","Cartola","https://www.letras.mus.br/cartola/44901/","https://www.youtube.com/watch?v=ud9PlROstDw","direct","found"
"song_o_nosso_amor","O nosso amor","","","","","no-artist"
"song_o_show_tem_que_continuar","O show tem que continuar","Fundo de Quintal","https://www.letras.mus.br/fundo-de-quintal/46084/","https://www.youtube.com/watch?v=c3i7WCrnMEI","direct","found"
"song_olho_por_olho","Olho por olho","Beth Carvalho","https://www.letras.mus.br/beth-carvalho/44517/","","","no-youtube-id"
"song_país_tropical","País tropical","Jorge Ben Jor","https://www.letras.mus.br/jorge-ben-jor/46647/","https://www.youtube.com/watch?v=qkdbFsSIGSI","artist-index","found"
"song_papo_de_samba","Papo de samba","Fundo de Quintal","https://www.letras.mus.br/fundo-de-quintal/46085/","","","no-youtube-id"
"song_pé_na_areia","Pé na areia","Diogo Nogueira","https://www.letras.mus.br/diogo-nogueira/pe-na-areia/","https://www.youtube.com/watch?v=h8PQQvNn6aI","direct","found"
"song_pra_tudo_se_acabar_na_quarta-feira","Pra tudo se acabar na quarta-feira","Martinho da Vila","https://www.letras.mus.br/martinho-da-vila/287450/","","","no-youtube-id"
"song_preciso_me_encontrar","Preciso me encontrar","Candeia","https://www.letras.mus.br/candeia/44833/","","","no-youtube-id"
"song_samba_blim_blim_blau","Samba blim blim blau","","","","","no-artist"
"song_se_vem_dia_meu_coração","Se vem dia meu coração","","","","","no-artist"
"song_sem_compromisso","Sem compromisso","Chico Buarque","https://www.letras.mus.br/chico-buarque/45173/","","","no-youtube-id"
"song_sonho_meu","Sonho meu","Dona Ivone Lara / Zeca Pagodinho","https://www.letras.mus.br/chico-buarque/45173/","","","not-found-on-artist-page"
"song_sorriso_negro","Sorriso negro","Dona Ivone Lara","https://www.letras.mus.br/dona-ivone-lara/sorriso-negro/","","","no-youtube-id"
"song_tristeza_por_favor","Tristeza por favor","","","","","no-artist"
"song_vai_vadiar_(vai_bambacão)","Vai vadiar (vai bambacão)","","","","","no-artist"
"song_velha_infância","Velha infância","Tribalistas","https://www.letras.mus.br/tribalistas/64148/","https://www.youtube.com/watch?v=iyJDuJggiEM","direct","found"
"song_voltar_a_paz","Voltar a paz","","","","","no-artist"
"song_vou_festejar","Vou festejar","Jorge Aragão / Beth Carvalho","https://www.letras.mus.br/tribalistas/64148/","https://www.youtube.com/watch?v=iyJDuJggiEM","direct","found"
