"storage_key","title","artist","youtube","source"
"song_canta_canta_minha_gente","Canta canta minha gente","Martinho da Vila","https://www.youtube.com/watch?v=FxQB1FYLu5k","letras"
"song_carnavália","Carnavália","Tribalistas","https://www.youtube.com/watch?v=Dx5Lm13eLm8","letras"
"song_casa_de_samba_(no_meu_canto)","Casa de Bamba","Martinho da Villa","https://www.youtube.com/watch?v=Dx5Lm13eLm8","letras"
"song_chega_de_saudade","Chega de saudade","João Gilberto","https://www.youtube.com/watch?v=QTTnL5EllD8","letras"
"song_conselho","Conselho","Almir Guineto","https://www.youtube.com/watch?v=CTIvQ4KGtKM","letras"
"song_deixa_a_vida_me_levar","Deixa a vida me levar","Zeca Pagodinho","https://www.youtube.com/watch?v=oTREAvZbmME","letras"
"song_doce_refúgio","Doce refúgio","Fundo de Quintal","https://www.youtube.com/watch?v=IZSVMni4xOo","letras"
"song_espelho","Espelho","João Nogueira","https://www.youtube.com/watch?v=BEVX5Aum85A","letras"
"song_falsa_consideração","Falsa consideração","Jorge Aragão","https://www.youtube.com/watch?v=aC1QBmYVMCc","letras"
"song_feitiço_da_vila","Feitiço da vila","Noel Rosa","https://www.youtube.com/watch?v=aC1QBmYVMCc","letras"
"song_folhas_secas","Folhas secas","Nelson Cavaquinho","https://www.youtube.com/watch?v=oSf5GVv7lvQ","letras"
"song_malandro","Malandro","Jorge Aragão","https://www.youtube.com/watch?v=PLjXaoceEY8","letras"
"song_maneiras","Maneiras","Zeca Pagodinho","https://www.youtube.com/watch?v=hHutLqLE0iU","letras"
"song_não_deixe_o_samba_morrer","Não deixe o samba morrer","Alcione","https://www.youtube.com/watch?v=sy-DPcwWRXM","letras"
"song_o_mundo_é_um_moinho","O mundo é um moinho","Cartola","https://www.youtube.com/watch?v=ud9PlROstDw","letras"
"song_o_show_tem_que_continuar","O show tem que continuar","Fundo de Quintal","https://www.youtube.com/watch?v=c3i7WCrnMEI","letras"
"song_país_tropical","País tropical","Jorge Ben Jor","https://www.youtube.com/watch?v=qkdbFsSIGSI","letras"
"song_pé_na_areia","Pé na areia","Diogo Nogueira","https://www.youtube.com/watch?v=h8PQQvNn6aI","letras"
"song_velha_infância","Velha infância","Tribalistas","https://www.youtube.com/watch?v=iyJDuJggiEM","letras"
"song_vou_festejar","Vou festejar","Jorge Aragão / Beth Carvalho","https://www.youtube.com/watch?v=iyJDuJggiEM","letras"
"song_a_batucada_dos_nossos_tantãs","A batucada dos nossos tantãs","Exaltasamba","https://www.youtube.com/watch?v=q1KjtnE5WSw","youtube-search"
"song_a_chuva_cai","A chuva cai","Beth Carvalho","https://www.youtube.com/watch?v=oat-SVnv6GA","youtube-search"
"song_a_cigana_leu_o_meu_destino_(o_amanhã)","A cigana leu o meu destino (o amanhã)","Simone","https://www.youtube.com/watch?v=pvgTisKJw2M","youtube-search"
"song_acreditar_eu_não","Acreditar eu não","Dona Ivone Lara","https://www.youtube.com/watch?v=8mQliNTA_2k","youtube-search"
"song_ai_tem_std","Ai tem std","","https://www.youtube.com/watch?v=DzQfSIESZls","youtube-search"
"song_amor_agora_não","Amor agora não","Fundo de Quintal","https://www.youtube.com/watch?v=qAuvvxHT5Qo","youtube-search"
"song_aquarela_brasileira","Aquarela brasileira","Silas de Oliveira","https://www.youtube.com/watch?v=r_OSCjiEQA8","youtube-search"
"song_ardido_peito_(pressentimento)","Ardido peito (pressentimento)","Elton Medeiros / Hermínio Bello de Carvalho","https://www.youtube.com/watch?v=9Dk9-A6KCz4","youtube-search"
"song_arerê","Arerê","Beth Carvalho","https://www.youtube.com/watch?v=yCQKD6_dK2s","youtube-search"
"song_camarão_que_dorme_a_onda_leva","Camarão que dorme a onda leva","Zeca Pagodinho / Beth Carvalho","https://www.youtube.com/watch?v=REAeV-uF7CY","youtube-search"
"song_deixe_me_ir_preciso_andar","Deixe me ir preciso andar","Agepê","https://www.youtube.com/watch?v=56mu8KSUYqk","youtube-search"
"song_descobri_que_te_amo_demais","Descobri que te amo demais","Zeca Pagodinho","https://www.youtube.com/watch?v=eJK0d4Dfkss","youtube-search"
"song_destino","Destino","","https://www.youtube.com/watch?v=okba9phZ8nE","youtube-search"
"song_do_fundo_do_nosso_quintal","Do fundo do nosso quintal","Jorge Aragão","https://www.youtube.com/watch?v=eDgJYP8lcrI","youtube-search"
"song_do_jeito_que_a_vida_quer","Do jeito que a vida quer","Beth Carvalho","https://www.youtube.com/watch?v=aJLEypMfk9A","youtube-search"
"song_dura_missão","Dura missão","Almir Guineto","https://www.youtube.com/watch?v=OBarzNgE3Mk","youtube-search"
"song_é_pois_é","É pois é","Beth Carvalho / Almir Guineto","https://www.youtube.com/watch?v=JeZPYnek9b0","youtube-search"
"song_é_preciso_muito_amor","É preciso muito amor","Zeca Pagodinho","https://www.youtube.com/watch?v=nqNUEumFHT8","youtube-search"
"song_enredo_do_meu_samba","Enredo do meu samba","","https://www.youtube.com/watch?v=hbBsTokjxRU","youtube-search"
"song_eu_sou_o_samba","Eu sou o samba","Zé Keti","https://www.youtube.com/watch?v=pebcDCvtJKE","youtube-search"
"song_ex_amor","Ex amor","Martinho da Vila","https://www.youtube.com/watch?v=nAJn7Rjhqjo","youtube-search"
"song_filho_de_jorge","Filho de jorge","Juninho Thybau","https://www.youtube.com/watch?v=QW1KMGh-aVM","youtube-search"
"song_fogo_de_saudade","Fogo de saudade","Fundo de Quintal","https://www.youtube.com/watch?v=v8uGDUvvJ6c","youtube-search"
"song_foram_me_chamar","Foram me chamar","Dona Ivone Lara","https://www.youtube.com/watch?v=2KAOsDvcUuE","youtube-search"
"song_inigualável_paixão","Inigualável paixão","Reinaldo","https://www.youtube.com/watch?v=WeQvhlo9W0o","youtube-search"
"song_juízo_final","Juízo final","Nelson Cavaquinho","https://www.youtube.com/watch?v=lU8j7lj4RdU","youtube-search"
"song_lendas_da_mata","Lendas da mata","João Martins","https://www.youtube.com/watch?v=AaL0eBq9pak","youtube-search"
"song_mais_que_nada","Mais que nada","Sergio Mendes / Jorge Ben Jor","https://www.youtube.com/watch?v=hg0XftC43Zo","youtube-search"
"song_mel_na_boca","Mel na boca","Almir Guineto","https://www.youtube.com/watch?v=z5uAxOg2YKg","youtube-search"
"song_menina_mulher_da_pele_preta","Menina mulher da pele preta","Moraes Moreira","https://www.youtube.com/watch?v=azZxwLqxQgE","youtube-search"
"song_meu_samba","Meu samba","Beth Carvalho","https://www.youtube.com/watch?v=WFiAN8PiXBI","youtube-search"
"song_mordomia","Mordomia","Almir Guineto","https://www.youtube.com/watch?v=AHeHlpl-DfE","youtube-search"
"song_mulheres","Mulheres","Jorge Aragão","https://www.youtube.com/watch?v=87i1ZjqO7L8","youtube-search"
"song_não_me_diga_adeus","Não me diga adeus","Alcione","https://www.youtube.com/watch?v=ekP2VY0KoTQ","youtube-search"
"song_não_posso_esquecer_o_seu_olhar","Não posso esquecer o seu olhar","","https://www.youtube.com/watch?v=eZuVfLkd5nI","youtube-search"
"song_não_posso_ficar_nem_mais_um_minuto_(trem_das_onze)","Não posso ficar nem mais um minuto (trem das onze)","Adoniran Barbosa","https://www.youtube.com/watch?v=RkkGVgOqPuM","youtube-search"
"song_ô_avió_raió","Ô avió raió","Folclore / Domínio Público","https://www.youtube.com/watch?v=xJWstAQA0nU","youtube-search"
"song_o_bêbado_e_o_equilibrista","O bêbado e o equilibrista","Elis Regina / João Bosco","https://www.youtube.com/watch?v=J07Mr2rkwT8","youtube-search"
"song_o_morro_não_tem_vez","O morro não tem vez","Tom Jobim / Vinícius de Moraes","https://www.youtube.com/watch?v=wRY5xrl29HI","youtube-search"
"song_o_nosso_amor","O nosso amor","","https://www.youtube.com/watch?v=o9NCq5U_I0Q","youtube-search"
"song_olho_por_olho","Olho por olho","Beth Carvalho","https://www.youtube.com/watch?v=2tbsMPhuPdA","youtube-search"
"song_papo_de_samba","Papo de samba","Fundo de Quintal","https://www.youtube.com/watch?v=S4y2jT7mMzY","youtube-search"
"song_pra_tudo_se_acabar_na_quarta-feira","Pra tudo se acabar na quarta-feira","Martinho da Vila","https://www.youtube.com/watch?v=fBaKBSLsxLo","youtube-search"
"song_preciso_me_encontrar","Preciso me encontrar","Candeia","https://www.youtube.com/watch?v=56mu8KSUYqk","youtube-search"
"song_samba_blim_blim_blau","Samba blim blim blau","","https://www.youtube.com/watch?v=kF3sNRq1p0M","youtube-search"
"song_se_vem_dia_meu_coração","Se vem dia meu coração","","https://www.youtube.com/watch?v=k2jawv-3UoI","youtube-search"
"song_sem_compromisso","Sem compromisso","Chico Buarque","https://www.youtube.com/watch?v=BqxF6RI9rV4","youtube-search"
"song_sonho_meu","Sonho meu","Dona Ivone Lara / Zeca Pagodinho","https://www.youtube.com/watch?v=f7KT1OaPEcg","youtube-search"
"song_sorriso_negro","Sorriso negro","Dona Ivone Lara","https://www.youtube.com/watch?v=AYVu3mTUuLc","youtube-search"
"song_tristeza_por_favor","Tristeza por favor","","https://www.youtube.com/watch?v=gNemysMcHUs","youtube-search"
"song_vai_vadiar_(vai_bambacão)","Vai vadiar (vai bambacão)","","https://www.youtube.com/watch?v=uFzsfe5EEaE","youtube-search"
"song_voltar_a_paz","Voltar a paz","","https://www.youtube.com/watch?v=FvKhIvxivDM","youtube-search"
