"storage_key","title","artist","youtube","status","query"
"song_a_batucada_dos_nossos_tantãs","A batucada dos nossos tantãs","Exaltasamba","https://www.youtube.com/watch?v=q1KjtnE5WSw","yt-search-found","A batucada dos nossos tantãs Exaltasamba oficial"
"song_a_chuva_cai","A chuva cai","Beth Carvalho","https://www.youtube.com/watch?v=oat-SVnv6GA","yt-search-found","A chuva cai Beth Carvalho oficial"
"song_a_cigana_leu_o_meu_destino_(o_amanhã)","A cigana leu o meu destino (o amanhã)","Simone","https://www.youtube.com/watch?v=pvgTisKJw2M","yt-search-found","A cigana leu o meu destino (o amanhã) Simone oficial"
"song_acreditar_eu_não","Acreditar eu não","Dona Ivone Lara","https://www.youtube.com/watch?v=8mQliNTA_2k","yt-search-found","Acreditar eu não Dona Ivone Lara oficial"
"song_ai_tem_std","Ai tem std","","https://www.youtube.com/watch?v=DzQfSIESZls","yt-search-found","Ai tem std samba"
"song_amor_agora_não","Amor agora não","Fundo de Quintal","https://www.youtube.com/watch?v=qAuvvxHT5Qo","yt-search-found","Amor agora não Fundo de Quintal oficial"
"song_aquarela_brasileira","Aquarela brasileira","Silas de Oliveira","https://www.youtube.com/watch?v=r_OSCjiEQA8","yt-search-found","Aquarela brasileira Silas de Oliveira oficial"
"song_ardido_peito_(pressentimento)","Ardido peito (pressentimento)","Elton Medeiros / Hermínio Bello de Carvalho","https://www.youtube.com/watch?v=9Dk9-A6KCz4","yt-search-found","Ardido peito (pressentimento) Elton Medeiros / Hermínio Bello de Carvalho oficial"
"song_arerê","Arerê","Beth Carvalho","https://www.youtube.com/watch?v=yCQKD6_dK2s","yt-search-found","Arerê Beth Carvalho oficial"
"song_camarão_que_dorme_a_onda_leva","Camarão que dorme a onda leva","Zeca Pagodinho / Beth Carvalho","https://www.youtube.com/watch?v=REAeV-uF7CY","yt-search-found","Camarão que dorme a onda leva Zeca Pagodinho / Beth Carvalho oficial"
"song_deixe_me_ir_preciso_andar","Deixe me ir preciso andar","Agepê","https://www.youtube.com/watch?v=56mu8KSUYqk","yt-search-found","Deixe me ir preciso andar Agepê oficial"
"song_descobri_que_te_amo_demais","Descobri que te amo demais","Zeca Pagodinho","https://www.youtube.com/watch?v=eJK0d4Dfkss","yt-search-found","Descobri que te amo demais Zeca Pagodinho oficial"
"song_destino","Destino","","https://www.youtube.com/watch?v=okba9phZ8nE","yt-search-found","Destino samba"
"song_do_fundo_do_nosso_quintal","Do fundo do nosso quintal","Jorge Aragão","https://www.youtube.com/watch?v=eDgJYP8lcrI","yt-search-found","Do fundo do nosso quintal Jorge Aragão oficial"
"song_do_jeito_que_a_vida_quer","Do jeito que a vida quer","Beth Carvalho","https://www.youtube.com/watch?v=aJLEypMfk9A","yt-search-found","Do jeito que a vida quer Beth Carvalho oficial"
"song_dura_missão","Dura missão","Almir Guineto","https://www.youtube.com/watch?v=OBarzNgE3Mk","yt-search-found","Dura missão Almir Guineto oficial"
"song_é_pois_é","É pois é","Beth Carvalho / Almir Guineto","https://www.youtube.com/watch?v=JeZPYnek9b0","yt-search-found","É pois é Beth Carvalho / Almir Guineto oficial"
"song_é_preciso_muito_amor","É preciso muito amor","Zeca Pagodinho","https://www.youtube.com/watch?v=nqNUEumFHT8","yt-search-found","É preciso muito amor Zeca Pagodinho oficial"
"song_enredo_do_meu_samba","Enredo do meu samba","","https://www.youtube.com/watch?v=hbBsTokjxRU","yt-search-found","Enredo do meu samba samba"
"song_eu_sou_o_samba","Eu sou o samba","Zé Keti","https://www.youtube.com/watch?v=pebcDCvtJKE","yt-search-found","Eu sou o samba Zé Keti oficial"
"song_ex_amor","Ex amor","Martinho da Vila","https://www.youtube.com/watch?v=nAJn7Rjhqjo","yt-search-found","Ex amor Martinho da Vila oficial"
"song_filho_de_jorge","Filho de jorge","Juninho Thybau","https://www.youtube.com/watch?v=QW1KMGh-aVM","yt-search-found","Filho de jorge Juninho Thybau oficial"
"song_fogo_de_saudade","Fogo de saudade","Fundo de Quintal","https://www.youtube.com/watch?v=v8uGDUvvJ6c","yt-search-found","Fogo de saudade Fundo de Quintal oficial"
"song_foram_me_chamar","Foram me chamar","Dona Ivone Lara","https://www.youtube.com/watch?v=2KAOsDvcUuE","yt-search-found","Foram me chamar Dona Ivone Lara oficial"
"song_inigualável_paixão","Inigualável paixão","Reinaldo","https://www.youtube.com/watch?v=WeQvhlo9W0o","yt-search-found","Inigualável paixão Reinaldo oficial"
"song_juízo_final","Juízo final","Nelson Cavaquinho","https://www.youtube.com/watch?v=lU8j7lj4RdU","yt-search-found","Juízo final Nelson Cavaquinho oficial"
"song_lendas_da_mata","Lendas da mata","João Martins","https://www.youtube.com/watch?v=AaL0eBq9pak","yt-search-found","Lendas da mata João Martins oficial"
"song_mais_que_nada","Mais que nada","Sergio Mendes / Jorge Ben Jor","https://www.youtube.com/watch?v=hg0XftC43Zo","yt-search-found","Mais que nada Sergio Mendes / Jorge Ben Jor oficial"
"song_mel_na_boca","Mel na boca","Almir Guineto","https://www.youtube.com/watch?v=z5uAxOg2YKg","yt-search-found","Mel na boca Almir Guineto oficial"
"song_menina_mulher_da_pele_preta","Menina mulher da pele preta","Moraes Moreira","https://www.youtube.com/watch?v=azZxwLqxQgE","yt-search-found","Menina mulher da pele preta Moraes Moreira oficial"
"song_meu_samba","Meu samba","Beth Carvalho","https://www.youtube.com/watch?v=WFiAN8PiXBI","yt-search-found","Meu samba Beth Carvalho oficial"
"song_mordomia","Mordomia","Almir Guineto","https://www.youtube.com/watch?v=AHeHlpl-DfE","yt-search-found","Mordomia Almir Guineto oficial"
"song_mulheres","Mulheres","Jorge Aragão","https://www.youtube.com/watch?v=87i1ZjqO7L8","yt-search-found","Mulheres Jorge Aragão oficial"
"song_não_me_diga_adeus","Não me diga adeus","Alcione","https://www.youtube.com/watch?v=ekP2VY0KoTQ","yt-search-found","Não me diga adeus Alcione oficial"
"song_não_posso_esquecer_o_seu_olhar","Não posso esquecer o seu olhar","","https://www.youtube.com/watch?v=eZuVfLkd5nI","yt-search-found","Não posso esquecer o seu olhar samba"
"song_não_posso_ficar_nem_mais_um_minuto_(trem_das_onze)","Não posso ficar nem mais um minuto (trem das onze)","Adoniran Barbosa","https://www.youtube.com/watch?v=RkkGVgOqPuM","yt-search-found","Não posso ficar nem mais um minuto (trem das onze) Adoniran Barbosa oficial"
"song_ô_avió_raió","Ô avió raió","Folclore / Domínio Público","https://www.youtube.com/watch?v=xJWstAQA0nU","yt-search-found","Ô avió raió Folclore / Domínio Público oficial"
"song_o_bêbado_e_o_equilibrista","O bêbado e o equilibrista","Elis Regina / João Bosco","https://www.youtube.com/watch?v=J07Mr2rkwT8","yt-search-found","O bêbado e o equilibrista Elis Regina / João Bosco oficial"
"song_o_morro_não_tem_vez","O morro não tem vez","Tom Jobim / Vinícius de Moraes","https://www.youtube.com/watch?v=wRY5xrl29HI","yt-search-found","O morro não tem vez Tom Jobim / Vinícius de Moraes oficial"
"song_o_nosso_amor","O nosso amor","","https://www.youtube.com/watch?v=o9NCq5U_I0Q","yt-search-found","O nosso amor samba"
"song_olho_por_olho","Olho por olho","Beth Carvalho","https://www.youtube.com/watch?v=2tbsMPhuPdA","yt-search-found","Olho por olho Beth Carvalho oficial"
"song_papo_de_samba","Papo de samba","Fundo de Quintal","https://www.youtube.com/watch?v=S4y2jT7mMzY","yt-search-found","Papo de samba Fundo de Quintal oficial"
"song_pra_tudo_se_acabar_na_quarta-feira","Pra tudo se acabar na quarta-feira","Martinho da Vila","https://www.youtube.com/watch?v=fBaKBSLsxLo","yt-search-found","Pra tudo se acabar na quarta-feira Martinho da Vila oficial"
"song_preciso_me_encontrar","Preciso me encontrar","Candeia","https://www.youtube.com/watch?v=56mu8KSUYqk","yt-search-found","Preciso me encontrar Candeia oficial"
"song_samba_blim_blim_blau","Samba blim blim blau","","https://www.youtube.com/watch?v=kF3sNRq1p0M","yt-search-found","Samba blim blim blau samba"
"song_se_vem_dia_meu_coração","Se vem dia meu coração","","https://www.youtube.com/watch?v=k2jawv-3UoI","yt-search-found","Se vem dia meu coração samba"
"song_sem_compromisso","Sem compromisso","Chico Buarque","https://www.youtube.com/watch?v=BqxF6RI9rV4","yt-search-found","Sem compromisso Chico Buarque oficial"
"song_sonho_meu","Sonho meu","Dona Ivone Lara / Zeca Pagodinho","https://www.youtube.com/watch?v=f7KT1OaPEcg","yt-search-found","Sonho meu Dona Ivone Lara / Zeca Pagodinho oficial"
"song_sorriso_negro","Sorriso negro","Dona Ivone Lara","https://www.youtube.com/watch?v=AYVu3mTUuLc","yt-search-found","Sorriso negro Dona Ivone Lara oficial"
"song_tristeza_por_favor","Tristeza por favor","","https://www.youtube.com/watch?v=gNemysMcHUs","yt-search-found","Tristeza por favor samba"
"song_vai_vadiar_(vai_bambacão)","Vai vadiar (vai bambacão)","","https://www.youtube.com/watch?v=uFzsfe5EEaE","yt-search-found","Vai vadiar (vai bambacão) samba"
"song_voltar_a_paz","Voltar a paz","","https://www.youtube.com/watch?v=FvKhIvxivDM","yt-search-found","Voltar a paz samba"
